,date,game_key,장민익,임진우,이현호,안규영,니퍼트,강동연,김명성,윤명준,함덕주,박진우,홍영현,한주성,최병욱,전용훈,박성민,채지선,남경호,고봉재,보우덴,김성배,정재훈,장원준,이현승,이용찬,이원재,이용호,김강률,홍상삼,진야곱,성영훈,유희관,조승수,오현택,고원준,허준혁,오장훈
41,2016-05-22,20160522OBLT0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.3478260869565215, 1.108695652173913, 1.0, 1.1794871794871795]","[0, 0, 0, 0, 0, 0]","[1, 0, 2.9189189189189193, 1.3783783783783783, 3.5294117647058822, 6.166666666666667]","[0, 1, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.125, 6.0, 1.0666666666666667]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.25, 1.5, 1.3333333333333333, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 1.6363636363636365, 1.0227272727272727, 3.8, 6.285714285714286]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.0, 0.7037037037037037, 4.142857142857143, 1.35]","[0, 0, 3.8571428571428568, 1.5714285714285714, 1.7272727272727273, 6.0]","[0, 0, 2.9454545454545453, 1.0363636363636364, 9.0, 1.0185185185185184]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.5, 1.5, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.821428571428571, 1.5642857142857143, 1.2105263157894737, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.303571428571429, 1.4464285714285714, 5.0, 1.0370370370370372]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.068493150684931, 1.1917808219178083, 2.4285714285714284, 3.0416666666666665]","[0, 0, 0, 0, 0, 0]"
42,2016-05-24,20160524KTOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.3478260869565215, 1.108695652173913, 1.0, 1.1794871794871795]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9189189189189193, 1.3783783783783783, 3.5294117647058822, 6.166666666666667]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.7, 0.8999999999999999, 8.0, 1.1111111111111112]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.5, 1.3333333333333333, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[1, 0, 1.8, 1.08, 4.0, 6.25]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.2705882352941176, 0.7411764705882353, 4.142857142857143, 1.349206349206349]","[0, 0, 3.8571428571428568, 1.5714285714285714, 1.7272727272727273, 6.0]","[0, 1, 3.2586206896551726, 1.1379310344827587, 9.5, 1.0175438596491226]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.375, 1.5, 1.5, 1.3333333333333335]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.821428571428571, 1.5642857142857143, 1.2105263157894737, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.303571428571429, 1.4464285714285714, 5.0, 1.0370370370370372]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.068493150684931, 1.1917808219178083, 2.4285714285714284, 3.0416666666666665]","[0, 0, 0, 0, 0, 0]"
43,2016-05-25,20160525KTOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.204081632653061, 1.1632653061224492, 1.1666666666666667, 1.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9189189189189193, 1.3783783783783783, 3.5294117647058822, 6.166666666666667]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.7, 0.8999999999999999, 8.0, 1.1111111111111112]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.5, 1.3333333333333333, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 1.8, 1.08, 4.0, 6.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.2705882352941176, 0.7411764705882353, 4.142857142857143, 1.349206349206349]","[1, 0, 3.965034965034965, 1.5944055944055946, 1.5769230769230769, 5.958333333333333]","[0, 1, 3.098360655737705, 1.1311475409836067, 9.5, 1.0166666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 4.408163265306122, 1.7142857142857144, 1.6, 1.4848484848484846]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.821428571428571, 1.5642857142857143, 1.2105263157894737, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.068493150684931, 1.1917808219178083, 2.4285714285714284, 3.0416666666666665]","[0, 0, 0, 0, 0, 0]"
44,2016-05-26,20160526KTOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.204081632653061, 1.1632653061224492, 1.1666666666666667, 1.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9189189189189193, 1.3783783783783783, 3.5294117647058822, 6.166666666666667]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.25, 0.75, 9.0, 1.1428571428571428]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.5, 1.3333333333333333, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 1.8, 1.08, 4.0, 6.25]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.2272727272727273, 0.75, 4.285714285714286, 1.3333333333333333]","[0, 0, 3.965034965034965, 1.5944055944055946, 1.5769230769230769, 5.958333333333333]","[0, 1, 2.953125, 1.078125, 9.5, 1.0158730158730158]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.408163265306122, 1.7142857142857144, 1.6, 1.4848484848484846]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.821428571428571, 1.5642857142857143, 1.2105263157894737, 5.833333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.450549450549451, 1.2857142857142858, 2.2, 3.3703703703703702]","[0, 0, 0, 0, 0, 0]"
45,2016-05-27,20160527LGOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.204081632653061, 1.1632653061224492, 1.1666666666666667, 1.1666666666666665]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.9189189189189193, 1.3783783783783783, 3.5294117647058822, 6.166666666666667]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.0, 1.0, 11.0, 1.125]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.5, 1.3333333333333333, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 1.8, 1.08, 4.0, 6.25]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.1612903225806452, 0.7419354838709677, 4.428571428571429, 1.3478260869565217]","[0, 0, 3.965034965034965, 1.5944055944055946, 1.5769230769230769, 5.958333333333333]","[0, 0, 2.953125, 1.078125, 9.5, 1.0158730158730158]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.4799999999999995, 1.92, 1.7, 1.388888888888889]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.673076923076923, 1.6538461538461537, 1.0434782608695652, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.450549450549451, 1.2857142857142858, 2.2, 3.3703703703703702]","[0, 0, 0, 0, 0, 0]"
46,2016-05-28,20160528LGOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.204081632653061, 1.1632653061224492, 1.1666666666666667, 1.1666666666666665]","[0, 0, 0, 0, 0, 0]","[1, 0, 3.9056603773584904, 1.471698113207547, 3.142857142857143, 5.888888888888889]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.0, 1.0, 11.0, 1.125]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.25, 1.5, 1.3333333333333333, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 1.8, 1.08, 4.0, 6.25]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1612903225806452, 0.7419354838709677, 4.428571428571429, 1.3478260869565217]","[0, 0, 3.965034965034965, 1.5944055944055946, 1.5769230769230769, 5.958333333333333]","[0, 1, 2.8208955223880596, 1.0746268656716418, 9.5, 1.0151515151515151]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.4799999999999995, 1.92, 1.7, 1.388888888888889]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.673076923076923, 1.6538461538461537, 1.0434782608695652, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.450549450549451, 1.2857142857142858, 2.2, 3.3703703703703702]","[0, 0, 0, 0, 0, 0]"
47,2016-05-29,20160529LGOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.6470588235294117, 1.1764705882352942, 1.5, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9056603773584904, 1.471698113207547, 3.142857142857143, 5.888888888888889]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.8571428571428568, 1.1785714285714286, 11.0, 1.0370370370370372]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.0625, 2.0625, 1.6666666666666667, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[1, 0, 2.4251497005988023, 1.1497005988023952, 4.25, 6.185185185185185]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1612903225806452, 0.7419354838709677, 4.428571428571429, 1.3478260869565217]","[0, 0, 3.965034965034965, 1.5944055944055946, 1.5769230769230769, 5.958333333333333]","[0, 0, 2.8208955223880596, 1.0746268656716418, 9.5, 1.0151515151515151]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.352941176470588, 1.8823529411764706, 1.7, 1.3076923076923077]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.673076923076923, 1.6538461538461537, 1.0434782608695652, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.450549450549451, 1.2857142857142858, 2.2, 3.3703703703703702]","[0, 0, 0, 0, 0, 0]"
48,2016-05-31,20160531OBNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.6470588235294117, 1.1764705882352942, 1.5, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9056603773584904, 1.471698113207547, 3.142857142857143, 5.888888888888889]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1785714285714286, 11.0, 1.0370370370370372]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.0625, 2.0625, 1.6666666666666667, 1.3333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 2.4251497005988023, 1.1497005988023952, 4.25, 6.185185185185185]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.1134020618556701, 0.7113402061855669, 4.857142857142857, 1.3472222222222223]","[1, 0, 3.8571428571428568, 1.6211180124223603, 1.4516129032258065, 5.962962962962963]","[0, 1, 3.471428571428571, 1.1571428571428573, 9.5, 1.0144927536231882]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 1.8823529411764706, 1.7, 1.3076923076923077]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.673076923076923, 1.6538461538461537, 1.0434782608695652, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.450549450549451, 1.2857142857142858, 2.2, 3.3703703703703702]","[0, 0, 0, 0, 0, 0]"
49,2016-06-01,20160601OBNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 1, 5.2105263157894735, 1.368421052631579, 1.8333333333333333, 1.1875]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9056603773584904, 1.471698113207547, 3.142857142857143, 5.888888888888889]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1785714285714286, 11.0, 1.0370370370370372]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.352941176470588, 2.2941176470588234, 1.2, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 2.4251497005988023, 1.1497005988023952, 4.25, 6.185185185185185]","[0, 0, 0, 0, 0, 0]","[0, 0, 1.1134020618556701, 0.7113402061855669, 4.857142857142857, 1.3472222222222223]","[0, 0, 3.8571428571428568, 1.6211180124223603, 1.4516129032258065, 5.962962962962963]","[0, 0, 3.471428571428571, 1.1571428571428573, 9.5, 1.0144927536231882]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.3, 1.85, 1.6363636363636365, 1.4285714285714286]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.673076923076923, 1.6538461538461537, 1.0434782608695652, 5.777777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.289719626168224, 1.3457943925233646, 2.076923076923077, 3.5666666666666664]","[0, 0, 0, 0, 0, 0]"
50,2016-06-02,20160602OBNC0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2105263157894735, 1.368421052631579, 1.8333333333333333, 1.1875]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9056603773584904, 1.471698113207547, 3.142857142857143, 5.888888888888889]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.8571428571428568, 1.1785714285714286, 11.0, 1.0370370370370372]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 2.2941176470588234, 1.2, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 2.4251497005988023, 1.1497005988023952, 4.25, 6.185185185185185]","[0, 0, 0, 0, 0, 0]","[0, 1, 1.6199999999999999, 0.75, 4.5, 1.3333333333333335]","[0, 0, 3.8571428571428568, 1.6211180124223603, 1.4516129032258065, 5.962962962962963]","[0, 0, 3.471428571428571, 1.1571428571428573, 9.5, 1.0144927536231882]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.3, 1.85, 1.6363636363636365, 1.4285714285714286]","[0, 0, 0, 0, 0, 0]","[1, 0, 4.118644067796611, 1.6101694915254237, 1.125, 5.9]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.289719626168224, 1.3457943925233646, 2.076923076923077, 3.5666666666666664]","[0, 0, 0, 0, 0, 0]"
51,2016-06-03,20160603SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2105263157894735, 1.368421052631579, 1.8333333333333333, 1.1875]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9056603773584904, 1.471698113207547, 3.142857142857143, 5.888888888888889]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 1, 3.4838709677419355, 1.161290322580645, 11.0, 1.0333333333333334]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 2.2941176470588234, 1.2, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 2.4251497005988023, 1.1497005988023952, 4.25, 6.185185185185185]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.1386138613861387, 0.8613861386138615, 4.111111111111111, 1.2948717948717947]","[0, 0, 3.8571428571428568, 1.6211180124223603, 1.4516129032258065, 5.962962962962963]","[0, 1, 3.6486486486486487, 1.2567567567567568, 5.0, 1.027777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.3, 1.85, 1.6363636363636365, 1.4285714285714286]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.118644067796611, 1.6101694915254237, 1.125, 5.9]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[1, 0, 0, 0, 0, 0]","[0, 0, 4.289719626168224, 1.3457943925233646, 2.076923076923077, 3.5666666666666664]","[0, 0, 0, 0, 0, 0]"
52,2016-06-04,20160604SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2105263157894735, 1.368421052631579, 1.8333333333333333, 1.1875]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.9056603773584904, 1.471698113207547, 3.142857142857143, 5.888888888888889]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4838709677419355, 1.161290322580645, 11.0, 1.0333333333333334]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 2.2941176470588234, 1.2, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[1, 0, 3.3942857142857146, 1.2685714285714285, 4.076923076923077, 5.833333333333334]","[0, 0, 0, 0, 0, 0]","[0, 1, 2.076923076923077, 0.8365384615384616, 4.111111111111111, 1.2839506172839505]","[0, 0, 3.8571428571428568, 1.6211180124223603, 1.4516129032258065, 5.962962962962963]","[0, 0, 3.6486486486486487, 1.2567567567567568, 5.0, 1.027777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.3, 1.85, 1.6363636363636365, 1.4285714285714286]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.118644067796611, 1.6101694915254237, 1.125, 5.9]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.289719626168224, 1.3457943925233646, 2.076923076923077, 3.5666666666666664]","[0, 0, 0, 0, 0, 0]"
53,2016-06-05,20160605SKOB0,"[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.2105263157894735, 1.368421052631579, 1.8333333333333333, 1.1875]","[1, 0, 0, 0, 0, 0]","[0, 0, 3.9056603773584904, 1.471698113207547, 3.142857142857143, 5.888888888888889]","[0, 0, 11.25, 2.25, 0.75, 0.6666666666666666]","[0, 0, 0, 0, 0, 0]","[0, 0, 3.4838709677419355, 1.161290322580645, 11.0, 1.0333333333333334]","[0, 0, 7.2, 2.0, 1.0, 0.625]","[0, 0, 0, 0, 0, 0]","[0, 0, 6.352941176470588, 2.2941176470588234, 1.2, 1.1333333333333333]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0.0, 0.0, 0, 0.3333333333333333]","[0, 0, 3.3942857142857146, 1.2685714285714285, 4.076923076923077, 5.833333333333334]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.076923076923077, 0.8365384615384616, 4.111111111111111, 1.2839506172839505]","[0, 0, 3.8571428571428568, 1.6211180124223603, 1.4516129032258065, 5.962962962962963]","[0, 0, 3.6486486486486487, 1.2567567567567568, 5.0, 1.027777777777778]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0]","[0, 0, 2.793103448275862, 1.5517241379310345, 1.2, 1.2083333333333333]","[0, 0, 0, 0, 0, 0]","[0, 1, 6.0, 1.8095238095238095, 1.5833333333333333, 1.4]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.118644067796611, 1.6101694915254237, 1.125, 5.9]","[0, 0, 0, 0, 0, 0]","[0, 0, 5.033898305084746, 1.423728813559322, 5.0, 1.0350877192982457]","[0, 0, 0, 0, 0, 0]","[0, 0, 4.289719626168224, 1.3457943925233646, 2.076923076923077, 3.5666666666666664]","[0, 0, 0, 0, 0, 0]"
