게임키,일자,원정팀코드,홈팀코드,더블헤더코드,요일,구장
20170412HHSS0,2017-04-12,HH,SS,0,수,대구
20170412HTOB0,2017-04-12,HT,OB,0,수,잠실
20170412KTWO0,2017-04-12,KT,WO,0,수,고척
20170412LGNC0,2017-04-12,LG,NC,0,수,마산
20170412LTSK0,2017-04-12,LT,SK,0,수,문학
20170413HHSS0,2017-04-13,HH,SS,0,목,대구
20170413HTOB0,2017-04-13,HT,OB,0,목,잠실
20170413KTWO0,2017-04-13,KT,WO,0,목,고척
20170413LGNC0,2017-04-13,LG,NC,0,목,마산
20170413LTSK0,2017-04-13,LT,SK,0,목,문학
20170414KTLG0,2017-04-14,KT,LG,0,금,잠실
20170414OBNC0,2017-04-14,OB,NC,0,금,마산
20170414SKHH0,2017-04-14,SK,HH,0,금,대전
20170414SSLT0,2017-04-14,SS,LT,0,금,사직
20170414WOHT0,2017-04-14,WO,HT,0,금,광주
20170415KTLG0,2017-04-15,KT,LG,0,토,잠실
20170415OBNC0,2017-04-15,OB,NC,0,토,마산
20170415SKHH0,2017-04-15,SK,HH,0,토,대전
20170415SSLT0,2017-04-15,SS,LT,0,토,사직
20170415WOHT0,2017-04-15,WO,HT,0,토,광주
20170416KTLG0,2017-04-16,KT,LG,0,일,잠실
20170416OBNC0,2017-04-16,OB,NC,0,일,마산
20170416SKHH0,2017-04-16,SK,HH,0,일,대전
20170416SSLT0,2017-04-16,SS,LT,0,일,사직
20170416WOHT0,2017-04-16,WO,HT,0,일,광주
20170418HTKT0,2017-04-18,HT,KT,0,화,수원
20170418LGHH0,2017-04-18,LG,HH,0,화,대전
20170418NCLT0,2017-04-18,NC,LT,0,화,사직
20170418SSOB0,2017-04-18,SS,OB,0,화,잠실
20170418WOSK0,2017-04-18,WO,SK,0,화,문학
20170419HTKT0,2017-04-19,HT,KT,0,수,수원
20170419LGHH0,2017-04-19,LG,HH,0,수,대전
20170419NCLT0,2017-04-19,NC,LT,0,수,사직
20170419SSOB0,2017-04-19,SS,OB,0,수,잠실
20170419WOSK0,2017-04-19,WO,SK,0,수,문학
20170420HTKT0,2017-04-20,HT,KT,0,목,수원
20170420LGHH0,2017-04-20,LG,HH,0,목,대전
20170420NCLT0,2017-04-20,NC,LT,0,목,사직
20170420SSOB0,2017-04-20,SS,OB,0,목,잠실
20170420WOSK0,2017-04-20,WO,SK,0,목,문학
20170421HHKT0,2017-04-21,HH,KT,0,금,수원
20170421HTLG0,2017-04-21,HT,LG,0,금,잠실
20170421LTWO0,2017-04-21,LT,WO,0,금,고척
20170421NCSS0,2017-04-21,NC,SS,0,금,대구
20170421OBSK0,2017-04-21,OB,SK,0,금,문학
20170422HHKT0,2017-04-22,HH,KT,0,토,수원
20170422HTLG0,2017-04-22,HT,LG,0,토,잠실
20170422LTWO0,2017-04-22,LT,WO,0,토,고척
20170422NCSS0,2017-04-22,NC,SS,0,토,대구
20170422OBSK0,2017-04-22,OB,SK,0,토,문학
20170423HHKT0,2017-04-23,HH,KT,0,일,수원
20170423HTLG0,2017-04-23,HT,LG,0,일,잠실
20170423LTWO0,2017-04-23,LT,WO,0,일,고척
20170423NCSS0,2017-04-23,NC,SS,0,일,대구
20170423OBSK0,2017-04-23,OB,SK,0,일,문학
20170425HHLT0,2017-04-25,HH,LT,0,화,사직
20170425KTNC0,2017-04-25,KT,NC,0,화,마산
20170425OBWO0,2017-04-25,OB,WO,0,화,고척
20170425SKLG0,2017-04-25,SK,LG,0,화,잠실
20170425SSHT0,2017-04-25,SS,HT,0,화,광주
20170426HHLT0,2017-04-26,HH,LT,0,수,사직
20170426KTNC0,2017-04-26,KT,NC,0,수,마산
20170426OBWO0,2017-04-26,OB,WO,0,수,고척
20170426SKLG0,2017-04-26,SK,LG,0,수,잠실
20170426SSHT0,2017-04-26,SS,HT,0,수,광주
20170427HHLT0,2017-04-27,HH,LT,0,목,사직
20170427KTNC0,2017-04-27,KT,NC,0,목,마산
20170427OBWO0,2017-04-27,OB,WO,0,목,고척
20170427SKLG0,2017-04-27,SK,LG,0,목,잠실
20170427SSHT0,2017-04-27,SS,HT,0,목,광주
20170428LGKT0,2017-04-28,LG,KT,0,금,수원
20170428LTOB0,2017-04-28,LT,OB,0,금,잠실
20170428NCHT0,2017-04-28,NC,HT,0,금,광주
20170428SKSS0,2017-04-28,SK,SS,0,금,대구
20170428WOHH0,2017-04-28,WO,HH,0,금,대전
20170429LGKT0,2017-04-29,LG,KT,0,토,수원
20170429LTOB0,2017-04-29,LT,OB,0,토,잠실
20170429NCHT0,2017-04-29,NC,HT,0,토,광주
20170429SKSS0,2017-04-29,SK,SS,0,토,대구
20170429WOHH0,2017-04-29,WO,HH,0,토,대전
20170430LGKT0,2017-04-30,LG,KT,0,일,수원
20170430LTOB0,2017-04-30,LT,OB,0,일,잠실
20170430NCHT0,2017-04-30,NC,HT,0,일,광주
20170430SKSS0,2017-04-30,SK,SS,0,일,대구
20170430WOHH0,2017-04-30,WO,HH,0,일,대전
20170502HHSK0,2017-05-02,HH,SK,0,화,문학
20170502HTWO0,2017-05-02,HT,WO,0,화,고척
20170502LTKT0,2017-05-02,LT,KT,0,화,수원
20170502NCLG0,2017-05-02,NC,LG,0,화,잠실
20170502OBSS0,2017-05-02,OB,SS,0,화,대구
20170503HHSK0,2017-05-03,HH,SK,0,수,문학
20170503HTWO0,2017-05-03,HT,WO,0,수,고척
20170503LTKT0,2017-05-03,LT,KT,0,수,수원
20170503NCLG0,2017-05-03,NC,LG,0,수,잠실
20170503OBSS0,2017-05-03,OB,SS,0,수,대구
20170504HHSK0,2017-05-04,HH,SK,0,목,문학
20170504HTWO0,2017-05-04,HT,WO,0,목,고척
20170504LTKT0,2017-05-04,LT,KT,0,목,수원
20170504NCLG0,2017-05-04,NC,LG,0,목,잠실
20170504OBSS0,2017-05-04,OB,SS,0,목,대구
20170505HTLT0,2017-05-05,HT,LT,0,금,사직
20170505KTHH0,2017-05-05,KT,HH,0,금,대전
20170505LGOB0,2017-05-05,LG,OB,0,금,잠실
20170505SKWO0,2017-05-05,SK,WO,0,금,고척
20170505SSNC0,2017-05-05,SS,NC,0,금,마산
20170506HTLT0,2017-05-06,HT,LT,0,토,사직
20170506KTHH0,2017-05-06,KT,HH,0,토,대전
20170506LGOB0,2017-05-06,LG,OB,0,토,잠실
20170506SKWO0,2017-05-06,SK,WO,0,토,고척
20170506SSNC0,2017-05-06,SS,NC,0,토,마산
20170507HTLT0,2017-05-07,HT,LT,0,일,사직
20170507KTHH0,2017-05-07,KT,HH,0,일,대전
20170507LGOB0,2017-05-07,LG,OB,0,일,잠실
20170507SKWO0,2017-05-07,SK,WO,0,일,고척
20170507SSNC0,2017-05-07,SS,NC,0,일,마산
20170509KTHT0,2017-05-09,KT,HT,0,화,광주
20170510KTHT0,2017-05-10,KT,HT,0,수,광주
20170510LGSS0,2017-05-10,LG,SS,0,수,대구
20170510LTHH0,2017-05-10,LT,HH,0,수,대전
20170510SKOB0,2017-05-10,SK,OB,0,수,잠실
20170510WONC0,2017-05-10,WO,NC,0,수,마산
20170511KTHT0,2017-05-11,KT,HT,0,목,광주
20170511LGSS0,2017-05-11,LG,SS,0,목,대구
20170511LTHH0,2017-05-11,LT,HH,0,목,대전
20170511SKOB0,2017-05-11,SK,OB,0,목,잠실
20170511WONC0,2017-05-11,WO,NC,0,목,마산
20170512HHLG0,2017-05-12,HH,LG,0,금,잠실
20170512HTSK0,2017-05-12,HT,SK,0,금,문학
20170512NCKT0,2017-05-12,NC,KT,0,금,수원
20170512WOSS0,2017-05-12,WO,SS,0,금,대구
20170513HHLG0,2017-05-13,HH,LG,0,토,잠실
20170513HTSK0,2017-05-13,HT,SK,0,토,문학
20170513NCKT0,2017-05-13,NC,KT,0,토,수원
20170513OBLT0,2017-05-13,OB,LT,0,토,사직
20170513WOSS0,2017-05-13,WO,SS,0,토,대구
20170514HHLG0,2017-05-14,HH,LG,0,일,잠실
20170514HTSK0,2017-05-14,HT,SK,0,일,문학
20170514NCKT0,2017-05-14,NC,KT,0,일,수원
20170514OBLT0,2017-05-14,OB,LT,0,일,사직
20170514WOSS0,2017-05-14,WO,SS,0,일,대구
20170516HHWO0,2017-05-16,HH,WO,0,화,고척
20170516KTLT0,2017-05-16,KT,LT,0,화,사직
20170516LGHT0,2017-05-16,LG,HT,0,화,광주
20170516NCOB0,2017-05-16,NC,OB,0,화,잠실
20170516SSSK0,2017-05-16,SS,SK,0,화,문학
20170517HHWO0,2017-05-17,HH,WO,0,수,고척
20170517KTLT0,2017-05-17,KT,LT,0,수,사직
20170517LGHT0,2017-05-17,LG,HT,0,수,광주
20170517NCOB0,2017-05-17,NC,OB,0,수,잠실
20170517SSSK0,2017-05-17,SS,SK,0,수,문학
20170518HHWO0,2017-05-18,HH,WO,0,목,고척
20170518KTLT0,2017-05-18,KT,LT,0,목,사직
20170518LGHT0,2017-05-18,LG,HT,0,목,광주
20170518NCOB0,2017-05-18,NC,OB,0,목,잠실
20170518SSSK0,2017-05-18,SS,SK,0,목,문학
20170519LTLG0,2017-05-19,LT,LG,0,금,잠실
20170519OBHT0,2017-05-19,OB,HT,0,금,광주
20170519SKNC0,2017-05-19,SK,NC,0,금,마산
20170519SSHH0,2017-05-19,SS,HH,0,금,대전
20170519WOKT0,2017-05-19,WO,KT,0,금,수원
20170520LTLG0,2017-05-20,LT,LG,0,토,잠실
20170520OBHT0,2017-05-20,OB,HT,0,토,광주
20170520SKNC0,2017-05-20,SK,NC,0,토,마산
20170520SSHH0,2017-05-20,SS,HH,0,토,대전
20170520WOKT0,2017-05-20,WO,KT,0,토,수원
20170521LTLG0,2017-05-21,LT,LG,0,일,잠실
20170521OBHT0,2017-05-21,OB,HT,0,일,광주
20170521SKNC0,2017-05-21,SK,NC,0,일,마산
20170521SSHH0,2017-05-21,SS,HH,0,일,대전
20170521WOKT0,2017-05-21,WO,KT,0,일,수원
20170523HTHH0,2017-05-23,HT,HH,0,화,대전
20170523KTSS0,2017-05-23,KT,SS,0,화,대구
20170523NCWO0,2017-05-23,NC,WO,0,화,고척
20170523SKLT0,2017-05-23,SK,LT,0,화,사직
20170524HTHH0,2017-05-24,HT,HH,0,수,대전
20170524KTSS0,2017-05-24,KT,SS,0,수,대구
20170524NCWO0,2017-05-24,NC,WO,0,수,고척
20170524OBLG0,2017-05-24,OB,LG,0,수,잠실
20170524SKLT0,2017-05-24,SK,LT,0,수,사직
20170525HTHH0,2017-05-25,HT,HH,0,목,대전
20170525KTSS0,2017-05-25,KT,SS,0,목,대구
20170525NCWO0,2017-05-25,NC,WO,0,목,고척
20170525OBLG0,2017-05-25,OB,LG,0,목,잠실
20170525SKLT0,2017-05-25,SK,LT,0,목,사직
20170526HHNC0,2017-05-26,HH,NC,0,금,마산
20170526KTOB0,2017-05-26,KT,OB,0,금,잠실
20170526LGSK0,2017-05-26,LG,SK,0,금,문학
20170526LTHT0,2017-05-26,LT,HT,0,금,광주
20170526SSWO0,2017-05-26,SS,WO,0,금,고척
20170527HHNC0,2017-05-27,HH,NC,0,토,마산
20170527KTOB0,2017-05-27,KT,OB,0,토,잠실
20170527LGSK0,2017-05-27,LG,SK,0,토,문학
20170527LTHT0,2017-05-27,LT,HT,0,토,광주
20170527SSWO0,2017-05-27,SS,WO,0,토,고척
20170528HHNC0,2017-05-28,HH,NC,0,일,마산
20170528KTOB0,2017-05-28,KT,OB,0,일,잠실
20170528LGSK0,2017-05-28,LG,SK,0,일,문학
20170528LTHT0,2017-05-28,LT,HT,0,일,광주
20170528SSWO0,2017-05-28,SS,WO,0,일,고척
20170530HTNC0,2017-05-30,HT,NC,0,화,마산
20170530LTSS0,2017-05-30,LT,SS,0,화,대구
20170530OBHH0,2017-05-30,OB,HH,0,화,대전
20170530SKKT0,2017-05-30,SK,KT,0,화,수원
20170530WOLG0,2017-05-30,WO,LG,0,화,잠실
20170531HTNC0,2017-05-31,HT,NC,0,수,마산
20170531LTSS0,2017-05-31,LT,SS,0,수,대구
20170531OBHH0,2017-05-31,OB,HH,0,수,대전
20170531SKKT0,2017-05-31,SK,KT,0,수,수원
20170531WOLG0,2017-05-31,WO,LG,0,수,잠실
20170601HTNC0,2017-06-01,HT,NC,0,목,마산
20170601LTSS0,2017-06-01,LT,SS,0,목,대구
20170601OBHH0,2017-06-01,OB,HH,0,목,대전
20170601SKKT0,2017-06-01,SK,KT,0,목,수원
20170601WOLG0,2017-06-01,WO,LG,0,목,잠실
20170602HTSS0,2017-06-02,HT,SS,0,금,대구
20170602KTLT0,2017-06-02,KT,LT,0,금,사직
20170602NCLG0,2017-06-02,NC,LG,0,금,잠실
20170602OBWO0,2017-06-02,OB,WO,0,금,고척
20170602SKHH0,2017-06-02,SK,HH,0,금,대전
20170603HTSS0,2017-06-03,HT,SS,0,토,대구
20170603KTLT0,2017-06-03,KT,LT,0,토,사직
20170603NCLG0,2017-06-03,NC,LG,0,토,잠실
20170603OBWO0,2017-06-03,OB,WO,0,토,고척
20170603SKHH0,2017-06-03,SK,HH,0,토,대전
20170604HTSS0,2017-06-04,HT,SS,0,일,대구
20170604KTLT0,2017-06-04,KT,LT,0,일,사직
20170604NCLG0,2017-06-04,NC,LG,0,일,잠실
20170604OBWO0,2017-06-04,OB,WO,0,일,고척
20170604SKHH0,2017-06-04,SK,HH,0,일,대전
20170606LTNC0,2017-06-06,LT,NC,0,화,마산
20170606SSOB0,2017-06-06,SS,OB,0,화,잠실
20170606WOSK0,2017-06-06,WO,SK,0,화,문학
20170607HHHT0,2017-06-07,HH,HT,0,수,광주
20170607LGKT0,2017-06-07,LG,KT,0,수,수원
20170607LTNC0,2017-06-07,LT,NC,0,수,마산
20170607SSOB0,2017-06-07,SS,OB,0,수,잠실
20170607WOSK0,2017-06-07,WO,SK,0,수,문학
20170608HHHT0,2017-06-08,HH,HT,0,목,광주
20170608LGKT0,2017-06-08,LG,KT,0,목,수원
20170608LTNC0,2017-06-08,LT,NC,0,목,마산
20170608SSOB0,2017-06-08,SS,OB,0,목,잠실
20170608WOSK0,2017-06-08,WO,SK,0,목,문학
20170609KTNC0,2017-06-09,KT,NC,0,금,마산
20170609OBLT0,2017-06-09,OB,LT,0,금,울산
20170609SKLG0,2017-06-09,SK,LG,0,금,잠실
20170609SSHH0,2017-06-09,SS,HH,0,금,대전
20170609WOHT0,2017-06-09,WO,HT,0,금,광주
20170610KTNC0,2017-06-10,KT,NC,0,토,마산
20170610OBLT0,2017-06-10,OB,LT,0,토,울산
20170610SKLG0,2017-06-10,SK,LG,0,토,잠실
20170610SSHH0,2017-06-10,SS,HH,0,토,대전
20170610WOHT0,2017-06-10,WO,HT,0,토,광주
20170611KTNC0,2017-06-11,KT,NC,0,일,마산
20170611OBLT0,2017-06-11,OB,LT,0,일,울산
20170611SKLG0,2017-06-11,SK,LG,0,일,잠실
20170611SSHH0,2017-06-11,SS,HH,0,일,대전
20170611WOHT0,2017-06-11,WO,HT,0,일,광주
20170613HHSK0,2017-06-13,HH,SK,0,화,문학
20170613HTLT0,2017-06-13,HT,LT,0,화,사직
20170613KTSS0,2017-06-13,KT,SS,0,화,포항
20170613LGOB0,2017-06-13,LG,OB,0,화,잠실
20170613NCWO0,2017-06-13,NC,WO,0,화,고척
20170614HHSK0,2017-06-14,HH,SK,0,수,문학
20170614HTLT0,2017-06-14,HT,LT,0,수,사직
20170614KTSS0,2017-06-14,KT,SS,0,수,포항
20170614LGOB0,2017-06-14,LG,OB,0,수,잠실
20170614NCWO0,2017-06-14,NC,WO,0,수,고척
20170615HHSK0,2017-06-15,HH,SK,0,목,문학
20170615HTLT0,2017-06-15,HT,LT,0,목,사직
20170615KTSS0,2017-06-15,KT,SS,0,목,포항
20170615LGOB0,2017-06-15,LG,OB,0,목,잠실
20170615NCWO0,2017-06-15,NC,WO,0,목,고척
20170616HHKT0,2017-06-16,HH,KT,0,금,수원
20170616LGHT0,2017-06-16,LG,HT,0,금,광주
20170616LTWO0,2017-06-16,LT,WO,0,금,고척
20170616NCOB0,2017-06-16,NC,OB,0,금,잠실
20170616SKSS0,2017-06-16,SK,SS,0,금,대구
20170617HHKT0,2017-06-17,HH,KT,0,토,수원
20170617LGHT0,2017-06-17,LG,HT,0,토,광주
20170617LTWO0,2017-06-17,LT,WO,0,토,고척
20170617NCOB0,2017-06-17,NC,OB,0,토,잠실
20170617SKSS0,2017-06-17,SK,SS,0,토,대구
20170618HHKT0,2017-06-18,HH,KT,0,일,수원
20170618LGHT0,2017-06-18,LG,HT,0,일,광주
20170618LTWO0,2017-06-18,LT,WO,0,일,고척
20170618NCOB0,2017-06-18,NC,OB,0,일,잠실
20170618SKSS0,2017-06-18,SK,SS,0,일,대구
20170620LTKT0,2017-06-20,LT,KT,0,화,수원
20170620NCSK0,2017-06-20,NC,SK,0,화,문학
20170620SSLG0,2017-06-20,SS,LG,0,화,잠실
20170620WOHH0,2017-06-20,WO,HH,0,화,대전
20170621LTKT0,2017-06-21,LT,KT,0,수,수원
20170621NCSK0,2017-06-21,NC,SK,0,수,문학
20170621OBHT0,2017-06-21,OB,HT,0,수,광주
20170621SSLG0,2017-06-21,SS,LG,0,수,잠실
20170621WOHH0,2017-06-21,WO,HH,0,수,대전
20170622LTKT0,2017-06-22,LT,KT,0,목,수원
20170622NCSK0,2017-06-22,NC,SK,0,목,문학
20170622OBHT0,2017-06-22,OB,HT,0,목,광주
20170622SSLG0,2017-06-22,SS,LG,0,목,잠실
20170622WOHH0,2017-06-22,WO,HH,0,목,대전
20170623HHSS0,2017-06-23,HH,SS,0,금,대구
20170623HTNC0,2017-06-23,HT,NC,0,금,마산
20170623KTSK0,2017-06-23,KT,SK,0,금,문학
20170623LGWO0,2017-06-23,LG,WO,0,금,고척
20170623LTOB0,2017-06-23,LT,OB,0,금,잠실
20170624HHSS0,2017-06-24,HH,SS,0,토,대구
20170624HTNC0,2017-06-24,HT,NC,0,토,마산
20170624KTSK0,2017-06-24,KT,SK,0,토,문학
20170624LGWO0,2017-06-24,LG,WO,0,토,고척
20170624LTOB0,2017-06-24,LT,OB,0,토,잠실
20170625HHSS0,2017-06-25,HH,SS,0,일,대구
20170625HTNC0,2017-06-25,HT,NC,0,일,마산
20170625KTSK0,2017-06-25,KT,SK,0,일,문학
20170625LGWO0,2017-06-25,LG,WO,0,일,고척
20170625LTOB0,2017-06-25,LT,OB,0,일,잠실
20170627KTHH0,2017-06-27,KT,HH,0,화,청주
20170627LGLT0,2017-06-27,LG,LT,0,화,사직
20170627SKOB0,2017-06-27,SK,OB,0,화,잠실
20170627SSHT0,2017-06-27,SS,HT,0,화,광주
20170627WONC0,2017-06-27,WO,NC,0,화,마산
20170628KTHH0,2017-06-28,KT,HH,0,수,청주
20170628LGLT0,2017-06-28,LG,LT,0,수,사직
20170628SKOB0,2017-06-28,SK,OB,0,수,잠실
20170628SSHT0,2017-06-28,SS,HT,0,수,광주
20170628WONC0,2017-06-28,WO,NC,0,수,마산
20170629KTHH0,2017-06-29,KT,HH,0,목,청주
20170629SKOB0,2017-06-29,SK,OB,0,목,잠실
20170629SSHT0,2017-06-29,SS,HT,0,목,광주
20170630HTLG0,2017-06-30,HT,LG,0,금,잠실
20170630NCLT0,2017-06-30,NC,LT,0,금,사직
20170630OBHH0,2017-06-30,OB,HH,0,금,대전
20170630SSSK0,2017-06-30,SS,SK,0,금,문학
20170630WOKT0,2017-06-30,WO,KT,0,금,수원
20170701HTLG0,2017-07-01,HT,LG,0,토,잠실
20170701NCLT0,2017-07-01,NC,LT,0,토,사직
20170701OBHH0,2017-07-01,OB,HH,0,토,대전
20170701SSSK0,2017-07-01,SS,SK,0,토,문학
20170702HTLG0,2017-07-02,HT,LG,0,일,잠실
20170702NCLT0,2017-07-02,NC,LT,0,일,사직
20170702SSSK0,2017-07-02,SS,SK,0,일,문학
20170702WOKT0,2017-07-02,WO,KT,0,일,수원
20170704HHWO0,2017-07-04,HH,WO,0,화,고척
20170704HTSK0,2017-07-04,HT,SK,0,화,문학
20170704KTOB0,2017-07-04,KT,OB,0,화,잠실
20170704LTSS0,2017-07-04,LT,SS,0,화,포항
20170705HHWO0,2017-07-05,HH,WO,0,수,고척
20170705HTSK0,2017-07-05,HT,SK,0,수,문학
20170705KTOB0,2017-07-05,KT,OB,0,수,잠실
20170705LGNC0,2017-07-05,LG,NC,0,수,마산
20170705LTSS0,2017-07-05,LT,SS,0,수,포항
20170706HHWO0,2017-07-06,HH,WO,0,목,고척
20170706HTSK0,2017-07-06,HT,SK,0,목,문학
20170706LTSS0,2017-07-06,LT,SS,0,목,포항
20170707OBNC0,2017-07-07,OB,NC,0,금,마산
20170707SKLT0,2017-07-07,SK,LT,0,금,사직
20170707WOSS0,2017-07-07,WO,SS,0,금,대구
20170708HHLG0,2017-07-08,HH,LG,0,토,잠실
20170708HTKT0,2017-07-08,HT,KT,0,토,수원
20170708SKLT0,2017-07-08,SK,LT,0,토,사직
20170708WOSS0,2017-07-08,WO,SS,0,토,대구
20170709HHLG0,2017-07-09,HH,LG,0,일,잠실
20170709OBNC0,2017-07-09,OB,NC,0,일,마산
20170709SKLT0,2017-07-09,SK,LT,0,일,사직
20170709WOSS0,2017-07-09,WO,SS,0,일,대구
20170711LGSK0,2017-07-11,LG,SK,0,화,문학
20170711LTHH0,2017-07-11,LT,HH,0,화,대전
20170711NCHT0,2017-07-11,NC,HT,0,화,광주
20170711SSKT0,2017-07-11,SS,KT,0,화,수원
20170711WOOB0,2017-07-11,WO,OB,0,화,잠실
20170712LGSK0,2017-07-12,LG,SK,0,수,문학
20170712LTHH0,2017-07-12,LT,HH,0,수,대전
20170712NCHT0,2017-07-12,NC,HT,0,수,광주
20170712SSKT0,2017-07-12,SS,KT,0,수,수원
20170712WOOB0,2017-07-12,WO,OB,0,수,잠실
20170713LGSK0,2017-07-13,LG,SK,0,목,문학
20170713LTHH0,2017-07-13,LT,HH,0,목,대전
20170713NCHT0,2017-07-13,NC,HT,0,목,광주
20170713SSKT0,2017-07-13,SS,KT,0,목,수원
20170713WOOB0,2017-07-13,WO,OB,0,목,잠실
20170718HTWO0,2017-07-18,HT,WO,0,화,고척
20170718KTLG0,2017-07-18,KT,LG,0,화,잠실
20170718NCHH0,2017-07-18,NC,HH,0,화,청주
20170718OBSK0,2017-07-18,OB,SK,0,화,문학
20170718SSLT0,2017-07-18,SS,LT,0,화,울산
20170719HTWO0,2017-07-19,HT,WO,0,수,고척
20170719KTLG0,2017-07-19,KT,LG,0,수,잠실
20170719NCHH0,2017-07-19,NC,HH,0,수,청주
20170719OBSK0,2017-07-19,OB,SK,0,수,문학
20170719SSLT0,2017-07-19,SS,LT,0,수,울산
20170720HTWO0,2017-07-20,HT,WO,0,목,고척
20170720KTLG0,2017-07-20,KT,LG,0,목,잠실
20170720NCHH0,2017-07-20,NC,HH,0,목,청주
20170720OBSK0,2017-07-20,OB,SK,0,목,문학
20170720SSLT0,2017-07-20,SS,LT,0,목,울산
20170721HHOB0,2017-07-21,HH,OB,0,금,잠실
20170721KTWO0,2017-07-21,KT,WO,0,금,고척
20170721LGSS0,2017-07-21,LG,SS,0,금,대구
20170721LTHT0,2017-07-21,LT,HT,0,금,광주
20170721SKNC0,2017-07-21,SK,NC,0,금,마산
20170722HHOB0,2017-07-22,HH,OB,0,토,잠실
20170722KTWO0,2017-07-22,KT,WO,0,토,고척
20170722LTHT0,2017-07-22,LT,HT,0,토,광주
20170722SKNC0,2017-07-22,SK,NC,0,토,마산
20170723HHOB0,2017-07-23,HH,OB,0,일,잠실
20170723KTWO0,2017-07-23,KT,WO,0,일,고척
20170723LGSS0,2017-07-23,LG,SS,0,일,대구
20170723LTHT0,2017-07-23,LT,HT,0,일,광주
20170723SKNC0,2017-07-23,SK,NC,0,일,마산
20170725NCSS0,2017-07-25,NC,SS,0,화,대구
20170725OBKT0,2017-07-25,OB,KT,0,화,수원
20170725SKHT0,2017-07-25,SK,HT,0,화,광주
20170725WOLG0,2017-07-25,WO,LG,0,화,잠실
20170726HHLT0,2017-07-26,HH,LT,0,수,사직
20170726NCSS0,2017-07-26,NC,SS,0,수,대구
20170726OBKT0,2017-07-26,OB,KT,0,수,수원
20170726SKHT0,2017-07-26,SK,HT,0,수,광주
20170726WOLG0,2017-07-26,WO,LG,0,수,잠실
20170727HHLT0,2017-07-27,HH,LT,0,목,사직
20170727NCSS0,2017-07-27,NC,SS,0,목,대구
20170727OBKT0,2017-07-27,OB,KT,0,목,수원
20170727SKHT0,2017-07-27,SK,HT,0,목,광주
20170727WOLG0,2017-07-27,WO,LG,0,목,잠실
20170728HTOB0,2017-07-28,HT,OB,0,금,잠실
20170728LGHH0,2017-07-28,LG,HH,0,금,대전
20170728LTSK0,2017-07-28,LT,SK,0,금,문학
20170728NCKT0,2017-07-28,NC,KT,0,금,수원
20170728SSWO0,2017-07-28,SS,WO,0,금,고척
20170729HTOB0,2017-07-29,HT,OB,0,토,잠실
20170729LGHH0,2017-07-29,LG,HH,0,토,대전
20170729LTSK0,2017-07-29,LT,SK,0,토,문학
20170729NCKT0,2017-07-29,NC,KT,0,토,수원
